ticker,target_name,horizon,spike_percentile,embedding_variant,alignment_mode,placebo_variant,evaluation_filter,num_test_spikes,num_test_samples,precision,recall,f1,roc_auc,pr_auc
AMGN,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,77,0.1,0.5,0.16666666666666666,0.5666666666666667,0.140625
AXP,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,85,0.0,0.0,0.0,0.7710843373493976,0.07107843137254902
BAC,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,105,0.0,0.0,0.0,0.6209150326797386,0.07049521431543904
BX,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,86,0.038461538461538464,0.5,0.07142857142857142,0.38095238095238093,0.03157644824311491
C,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,100,0.25,1.0,0.4,1.0,1.0
ABT,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,24,125,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4344059405940594,0.1709884384863128
AMD,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,27,173,0.1917808219178082,0.5185185185185185,0.28,0.5918315575849822,0.2698969336949264
AMGN,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,16,77,0.16666666666666666,0.25,0.2,0.6475409836065573,0.29495004074932246
AXP,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,13,85,0.2857142857142857,0.15384615384615385,0.2,0.5747863247863247,0.24876001111504895
BAC,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,17,105,0.13793103448275862,0.23529411764705882,0.17391304347826086,0.4872994652406417,0.1790818225738038
BX,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,86,0.21052631578947367,0.8,0.3333333333333333,0.6835680751173709,0.3000356825151008
C,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,100,0.16666666666666666,0.3,0.21428571428571427,0.5322222222222222,0.13220287492873856
ABT,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,18,125,0.045454545454545456,0.05555555555555555,0.05,0.3286604361370717,0.1082294073320415
AMD,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,19,173,0.16417910447761194,0.5789473684210527,0.2558139534883721,0.6363636363636364,0.28368255011911836
AMGN,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,77,0.18181818181818182,0.4,0.25,0.6805970149253731,0.23804624520046797
AXP,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,85,0.125,0.1,0.1111111111111111,0.5840000000000001,0.16873180339106159
BAC,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,105,0.05,0.06666666666666667,0.05714285714285714,0.4674074074074074,0.16401675787093012
BX,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,86,0.1111111111111111,0.8571428571428571,0.19672131147540983,0.7233273056057866,0.17796964939822085
C,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,100,0.09523809523809523,0.3333333333333333,0.14814814814814814,0.5390070921985815,0.09996578325245739
ABT,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,125,0.04,0.1,0.05714285714285714,0.4043478260869565,0.07302986327113127
AMD,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,12,173,0.13793103448275862,0.6666666666666666,0.22857142857142856,0.670807453416149,0.19724907170816333
AMGN,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,77,0.09523809523809523,0.25,0.13793103448275862,0.6231884057971014,0.252069485855671
AXP,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,85,0.0,0.0,0.0,0.7073170731707318,0.07422360248447205
BAC,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,105,0.0,0.0,0.0,0.4123711340206185,0.06917022327793114
BX,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,86,0.09523809523809523,0.8,0.1702127659574468,0.6518518518518519,0.10158570424105229
C,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,100,0.0,0.0,0.0,0.21305841924398627,0.024574369690326118
ABT,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,125,0.0,0.0,0.0,0.15702479338842976,0.02274280691353419
AMD,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,173,0.11428571428571428,0.5,0.18604651162790697,0.7621212121212121,0.1606798677632922
AMGN,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,77,0.05555555555555555,0.5,0.1,0.5866666666666667,0.05024509803921569
AXP,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,85,0.0,0.0,0.0,0.7891566265060241,0.07738095238095238
BAC,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,105,0.0,0.0,0.0,0.39215686274509803,0.030623932786315488
BX,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,86,0.029411764705882353,0.5,0.05555555555555555,0.6130952380952381,0.046723952738990326
C,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,100,0.0,0.0,0.0,0.4040404040404041,0.016666666666666666
ABT,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,14,125,0.29411764705882354,0.35714285714285715,0.3225806451612903,0.6949806949806949,0.3990716086749626
AMD,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,17,173,0.13559322033898305,0.47058823529411764,0.21052631578947367,0.5377073906485671,0.11355721560258736
AMGN,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,13,77,0.29411764705882354,0.38461538461538464,0.3333333333333333,0.5997596153846154,0.3001401397404958
AXP,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,10,85,0.2727272727272727,0.3,0.2857142857142857,0.704,0.2573477818025281
BAC,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,9,105,0.14285714285714285,0.2222222222222222,0.17391304347826086,0.5185185185185185,0.10966290811122513
BX,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,10,86,0.14583333333333334,0.7,0.2413793103448276,0.6789473684210526,0.33824384726761636
C,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,9,100,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7142857142857143,0.22246592603091772
ABT,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,10,125,0.3076923076923077,0.4,0.34782608695652173,0.688695652173913,0.43577071664868605
AMD,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,13,173,0.10909090909090909,0.46153846153846156,0.17647058823529413,0.5923076923076923,0.09958099545912627
AMGN,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,11,77,0.3125,0.45454545454545453,0.37037037037037035,0.6707988980716253,0.33243982517689097
AXP,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,7,85,0.125,0.14285714285714285,0.13333333333333333,0.7124542124542125,0.15130867525442465
BAC,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,105,0.15384615384615385,0.3333333333333333,0.21052631578947367,0.563973063973064,0.11974368863119336
BX,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,86,0.11627906976744186,0.8333333333333334,0.20408163265306123,0.74375,0.4096427506103265
C,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,4,100,0.0,0.0,0.0,0.46354166666666663,0.04381873849086964
ABT,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,125,0.125,0.16666666666666666,0.14285714285714285,0.5868347338935573,0.1738810711866988
AMD,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,173,0.08333333333333333,0.6666666666666666,0.14814814814814814,0.6417165668662675,0.06877439152980948
AMGN,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,5,77,0.15384615384615385,0.4,0.2222222222222222,0.5972222222222222,0.11468517220765671
AXP,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,4,85,0.0,0.0,0.0,0.6944444444444444,0.10981919083422842
BAC,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,5,105,0.18181818181818182,0.4,0.25,0.628,0.122398487588361
